rank,driver,team,laps_counted,average_lap_seconds,gap_to_best_avg_seconds,median_lap_seconds,best_lap_seconds,consistency_std_seconds
1,HAM,Mercedes,47,93.838,0.0,91.675,89.438,4.709
2,PIA,McLaren,47,93.948,0.11,91.896,88.748,5.239
3,VER,Red Bull Racing,47,93.976,0.138,91.933,88.952,4.771
4,NOR,McLaren,47,94.042,0.204,91.83,89.262,4.554
5,RUS,Mercedes,29,94.421,0.583,91.716,91.298,4.233
6,SAI,Ferrari,45,94.578,0.74,92.362,88.293,4.876
7,ALO,Aston Martin,47,94.879,1.041,92.673,89.71,5.087
8,ALB,Williams,47,94.939,1.101,93.014,89.718,5.077
9,HUL,Haas F1 Team,47,95.003,1.165,92.672,89.836,4.963
10,STR,Aston Martin,47,95.071,1.233,92.716,89.897,5.214
11,MAG,Haas F1 Team,47,95.126,1.288,93.204,90.093,4.976
12,TSU,RB,47,95.242,1.404,93.031,90.229,4.879
13,SAR,Williams,47,95.339,1.501,93.04,89.972,5.113
14,RIC,RB,46,95.715,1.877,93.346,90.735,4.811
15,LEC,Ferrari,44,95.83,1.992,92.701,89.748,6.21
16,BOT,Kick Sauber,46,96.154,2.316,93.877,91.277,4.63
17,OCO,Alpine,41,96.487,2.649,94.491,90.875,4.85
18,PER,Red Bull Racing,41,96.8,2.962,93.219,89.707,6.415
19,ZHO,Kick Sauber,41,97.556,3.718,95.012,91.014,6.232
