constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,204.0,1,1,9,2007
BMW Sauber,bmw_sauber,German,https://en.wikipedia.org/wiki/BMW_in_Formula_One,101.0,2,2,0,2007
Renault,renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One,51.0,3,3,0,2007
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,33.0,4,4,0,2007
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,24.0,5,5,0,2007
Toyota,toyota,Japanese,https://en.wikipedia.org/wiki/Toyota_Racing,13.0,6,6,0,2007
Toro Rosso,toro_rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,8.0,7,7,0,2007
Honda,honda,Japanese,https://en.wikipedia.org/wiki/Honda_in_Formula_One,6.0,8,8,0,2007
Super Aguri,super_aguri,Japanese,https://en.wikipedia.org/wiki/Super_Aguri_F1,4.0,9,9,0,2007
Spyker,spyker,Dutch,https://en.wikipedia.org/wiki/Spyker_F1,1.0,10,10,0,2007
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,0.0,,E,8,2007
